"Year","Car_Sale"
"1984","10323695"
"1985","10979187"
"1986","11404239"
"1987","10191877"
"1988","10546808"
"1989","9778517"
"1990","9303215"
"1991","8184979"
"1992","8213113"
"1993","8517859"
"1994","8990517"
"1995","8620159"
"1996","8478545"
"1997","8217480"
"1998","8084989"
"1999","8637708"
"2000","8777723"
"2001","8352000"
"2002","8042255"
"2003","7555551"
"2004","7482555"
"2005","7659983"
"2006","7761592"
"2007","7562334"
"2008","6769107"
"2009","5400890"
"2010","5635432"
"2011","6089403"
"2012","7243654"
"2013","7780710"
"2014","7918601"
