Year,Drive_Through_Sale
1984,900113000
1985,900145000
1986,901456000
1987,903855000
1988,903952000
1989,906937000
1990,907982000
1991,909972000
1992,910973000
1993,912943000
1994,918934000
1995,922924000
1996,925983000
1997,930991000
1998,944987000
1999,950935000
2000,952983000
2001,964923000
2002,979987000
2003,989965000
2004,999946000
2005,110000000
2006,1080000000
2007,1120000000
2008,1150000000
2009,1210000000
2010,1200000000
2011,1240000000
2012,1340000000
2013,1290000000
2014,1440000000
2015,1470000000
2016,1510000000
